scientific_run_id,scenario,configuration,repetition,random_seed,total_intended_targets,pcpe_d,pcf_d,pcpe_m,pcf_m,pcpe_e,pcf_e,pcpe_e_lower,pcpe_e_upper,pcf_e_lower,pcf_e_upper,tE_status
RECON_20260908_PI_MAIN_S3P1_C2_R05,S3P1,C2,5,6408354956546321736,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S1_C4_R04,S1,C4,4,5798949736423142048,10,5,0.5,6,0.6,,,5,6,0.5,0.6,INTERVAL_CENSORED_NFT
RECON_20260908_PI_MAIN_S1_C1_R04,S1,C1,4,5798949736423142048,10,,,,,,,,,,,NO_MITIGATION
RECON_20260908_PI_MAIN_S1_C3_R04,S1,C3,4,5798949736423142048,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S7L1_C3_RETRY_R01,S7L1,C3,3,3180556381496409802,1024,181,0.1767578125,181,0.1767578125,181,0.1767578125,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S7L2_C3_R03,S7L2,C3,3,6562799364890788796,3686,25,0.006782419967444384,25,0.006782419967444384,25,0.006782419967444384,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S7L3_C3_R03,S7L3,C3,3,6454612148753481789,4608,131,0.028428819444444444,132,0.028645833333333332,132,0.028645833333333332,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S4_C3_RETRY_R01,S4,C3,5,2842395541070670683,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S3P3_C1_R04,S3P3,C1,4,1551295374371345389,10,,,,,,,,,,,NO_MITIGATION
RECON_20260908_PI_MAIN_S3P3_C3_R04,S3P3,C3,4,1551295374371345389,10,6,0.6,6,0.6,6,0.6,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S3P3_C4_R04,S3P3,C4,4,1551295374371345389,10,6,0.6,6,0.6,,,6,7,0.6,0.7,INTERVAL_CENSORED_NFT
RECON_20260908_PI_MAIN_S3P1_C2_R02,S3P1,C2,2,1936718994383941160,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S5_C3_R01,S5,C3,1,4257560775669015479,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S6B_C3_R02,S6B,C3,2,5715867056632763172,6,5,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S3P3_C2_R02,S3P3,C2,2,6738418808919608595,10,6,0.6,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S5_C3_R05,S5,C3,5,2719412300119822773,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S1_C3_R05,S1,C3,5,3550170336778609794,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S1_C4_R05,S1,C4,5,3550170336778609794,10,5,0.5,6,0.6,,,6,7,0.6,0.7,INTERVAL_CENSORED_NFT
RECON_20260908_PI_MAIN_S1_C1_R05,S1,C1,5,3550170336778609794,10,,,,,,,,,,,NO_MITIGATION
RECON_20260908_PI_MAIN_S4_C2_R04,S4,C2,4,2244168523270381401,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P1_C2_R01,S3P1,C2,1,2798965368270370390,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S5_C3_R03,S5,C3,3,5593754172359340609,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S2_C2_R01,S2,C2,1,2104045051948496701,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S5_C2_R01,S5,C2,1,4257560775669015479,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S6A_C2_R01,S6A,C2,1,1253655163929388384,6,5,0.8333333333333334,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S1_C2_R01,S1,C2,1,3635626954574171177,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P2_C2_R05,S3P2,C2,5,6062656924788657520,10,6,0.6,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P3_C1_R03,S3P3,C1,3,7463260774621527860,10,,,,,,,,,,,NO_MITIGATION
