section,comparison,metric,value,unit,n,ci_low,ci_high,notes
detection,C1,applicable_runs,10,runs,10,,,
detection,C1,detected_runs,0,runs,10,,,
detection,C1,detection_rate,0.0,fraction,10,,,
detection,C2,applicable_runs,44,runs,44,,,
detection,C2,detected_runs,39,runs,44,,,
detection,C2,detection_rate,0.8863636363636364,fraction,44,,,
detection,C3,applicable_runs,34,runs,34,,,
detection,C3,detected_runs,34,runs,34,,,
detection,C3,detection_rate,1.0,fraction,34,,,
detection,C4,applicable_runs,10,runs,10,,,
detection,C4,detected_runs,10,runs,10,,,
detection,C4,detection_rate,1.0,fraction,10,,,
detection,C1_vs_C3_matched,matched_pairs,10,pairs,10,,,
detection,C1_vs_C3_matched,C1_yes_C3_no,0,pairs,10,,,
detection,C1_vs_C3_matched,C1_no_C3_yes,10,pairs,10,,,
detection,C1_vs_C3_matched,absolute_detection_gain,1.0,fraction,10,,,
detection,C1_vs_C3_matched,exact_McNemar_two_sided_p,0.001953125,p,10,,,
detection_latency,C2,pcpe_d_mean_ms,4101.387922615385,ms,39,,,
detection_latency,C2,pcpe_d_median_ms,4018.093044,ms,39,,,
detection_latency,C2,pcpe_d_q1_ms,1218.3047765000001,ms,39,,,
detection_latency,C2,pcpe_d_q3_ms,6124.2394105,ms,39,,,
detection_latency,C3,pcpe_d_mean_ms,2785.326510147059,ms,34,,,
detection_latency,C3,pcpe_d_median_ms,1187.8488094999998,ms,34,,,
detection_latency,C3,pcpe_d_q1_ms,434.026919,ms,34,,,
detection_latency,C3,pcpe_d_q3_ms,4119.006803,ms,34,,,
detection_latency,C4,pcpe_d_mean_ms,5656.8692032,ms,10,,,
detection_latency,C4,pcpe_d_median_ms,5633.952836,ms,10,,,
detection_latency,C4,pcpe_d_q1_ms,1186.3206765,ms,10,,,
detection_latency,C4,pcpe_d_q3_ms,10129.91950575,ms,10,,,
detection_latency_scenario,S1_C3,pcpe_d_median_ms,1174.244875,ms,5,,,
detection_latency_scenario,S1_C3,pcpe_d_q1_ms,1150.703789,ms,5,,,
detection_latency_scenario,S1_C3,pcpe_d_q3_ms,1190.266379,ms,5,,,
detection_latency_scenario,S3P3_C3,pcpe_d_median_ms,10197.011162,ms,5,,,
detection_latency_scenario,S3P3_C3,pcpe_d_q1_ms,10066.745254,ms,5,,,
detection_latency_scenario,S3P3_C3,pcpe_d_q3_ms,10210.50254,ms,5,,,
detection_latency_scenario,S4_C3,pcpe_d_median_ms,1071.521467,ms,5,,,
detection_latency_scenario,S4_C3,pcpe_d_q1_ms,1039.233308,ms,5,,,
detection_latency_scenario,S4_C3,pcpe_d_q3_ms,1170.412131,ms,5,,,
detection_latency_scenario,S5_C3,pcpe_d_median_ms,2172.791397,ms,5,,,
detection_latency_scenario,S5_C3,pcpe_d_q1_ms,2122.327043,ms,5,,,
detection_latency_scenario,S5_C3,pcpe_d_q3_ms,2182.708992,ms,5,,,
detection_latency_scenario,S6B_C3,pcpe_d_median_ms,4195.802384,ms,5,,,
detection_latency_scenario,S6B_C3,pcpe_d_q1_ms,4126.519404,ms,5,,,
detection_latency_scenario,S6B_C3,pcpe_d_q3_ms,4211.812941,ms,5,,,
detection_latency_scenario,S7L1_C3,pcpe_d_median_ms,205.575097,ms,3,,,
detection_latency_scenario,S7L1_C3,pcpe_d_q1_ms,132.279686,ms,3,,,
detection_latency_scenario,S7L1_C3,pcpe_d_q3_ms,223.3057795,ms,3,,,
detection_latency_scenario,S7L2_C3,pcpe_d_median_ms,64.139437,ms,3,,,
detection_latency_scenario,S7L2_C3,pcpe_d_q1_ms,50.0037005,ms,3,,,
detection_latency_scenario,S7L2_C3,pcpe_d_q3_ms,106.82516000000001,ms,3,,,
detection_latency_scenario,S7L3_C3,pcpe_d_median_ms,75.787575,ms,3,,,
detection_latency_scenario,S7L3_C3,pcpe_d_q1_ms,74.43525199999999,ms,3,,,
detection_latency_scenario,S7L3_C3,pcpe_d_q3_ms,115.9873545,ms,3,,,
detector_timing_sanity,C3_vs_C4_matched,C4_minus_C3_pcpe_d_mean_ms,5.667544600000179,ms,10,,,
detector_timing_sanity,C3_vs_C4_matched,C4_minus_C3_pcpe_d_median_ms,0.3691970000007814,ms,10,,,
mitigation_installation,C3,tM_minus_tD_mean_ms,0.19665329411766516,ms,34,,,
mitigation_installation,C3,tM_minus_tD_median_ms,0.14197899999999208,ms,34,,,
mitigation_installation,C3,tM_minus_tD_min_ms,0.05572100000017599,ms,34,,,
mitigation_installation,C3,tM_minus_tD_max_ms,0.9037979999999948,ms,34,,,
mitigation_installation,C4,tM_minus_tD_mean_ms,302.2982645999998,ms,10,,,
mitigation_installation,C4,tM_minus_tD_median_ms,300.1151709999996,ms,10,,,
mitigation_installation,C4,tM_minus_tD_min_ms,274.746085,ms,10,,,
